iter	Passed	Remaining
490	592	613
491	592	611
492	593	610
493	593	608
494	594	606
495	595	604
496	601	608
497	601	606
498	602	605
499	603	603
500	604	602
501	605	600
502	606	599
503	606	597
504	607	595
505	608	593
506	608	591
507	609	590
508	609	588
509	613	589
510	615	588
511	616	587
512	617	585
513	617	584
514	618	582
515	619	581
516	620	579
517	621	578
518	622	576
519	623	575
520	623	573
521	624	571
522	629	573
523	630	572
524	631	571
525	632	570
526	633	568
527	636	568
528	638	568
529	647	574
530	649	573
531	650	572
532	652	571
533	654	570
534	655	569
535	662	573
536	663	572
537	664	570
538	665	569
539	666	568
540	667	566
541	669	565
542	671	564
543	675	566
544	676	565
545	677	563
546	678	562
547	679	560
548	680	559
549	681	557
550	682	556
551	685	556
552	692	559
553	693	558
554	694	556
555	696	556
556	697	554
557	698	553
558	698	551
559	699	549
560	700	548
561	706	550
562	707	549
563	709	548
564	710	547
565	711	545
566	712	543
567	712	542
568	713	540
569	714	539
570	715	537
571	720	539
572	722	538
573	723	536
574	724	535
575	725	534
576	726	532
577	727	531
578	728	529
579	729	528
580	730	526
581	731	525
582	735	525
583	736	524
584	736	522
585	737	521
586	738	519
587	739	518
588	739	516
589	740	514
590	741	512
591	741	511
592	742	509
593	742	507
594	743	506
595	744	504
596	749	506
597	750	504
598	751	503
599	752	501
600	753	500
601	754	498
602	754	496
603	755	495
604	755	493
605	756	491
606	757	490
607	757	488
608	758	486
609	758	485
610	759	483
611	765	485
612	766	484
613	767	482
614	768	481
615	769	479
616	770	478
617	770	476
618	771	474
619	771	473
620	772	471
621	773	469
622	773	468
623	774	466
624	779	467
625	781	466
626	782	465
627	783	464
628	785	463
629	786	461
630	786	460
631	787	458
632	787	456
633	788	455
634	789	453
635	794	454
636	796	453
637	796	452
638	797	450
639	798	448
640	799	447
641	799	446
642	800	444
643	801	442
644	801	441
645	802	439
646	803	438
647	803	436
648	804	434
649	808	435
650	809	434
651	810	432
652	811	431
653	812	429
654	812	428
655	813	426
656	813	424
657	814	423
658	815	421
659	815	420
660	816	418
661	817	417
662	817	415
663	818	414
664	819	412
665	823	413
666	825	412
667	826	410
668	827	409
669	827	407
670	828	406
671	829	405
672	830	403
673	831	401
674	831	400
675	832	398
676	832	397
677	833	395
678	834	394
679	834	392
680	836	391
681	836	390
682	837	388
683	838	387
684	839	386
685	840	384
686	840	383
687	841	381
688	841	380
689	842	378
690	843	377
691	843	375
692	844	374
693	845	372
694	848	372
695	850	371
696	851	370
697	852	368
698	853	367
699	853	365
700	854	364
701	854	362
702	855	361
703	855	359
704	856	358
705	857	356
706	857	355
707	858	353
708	858	352
709	859	351
710	860	349
711	864	349
712	865	348
713	866	347
714	867	345
715	868	344
716	869	343
717	869	341
718	870	340
719	871	338
720	871	337
721	872	335
722	873	334
723	873	333
724	874	331
725	874	330
726	875	328
727	880	328
728	881	327
729	882	326
730	883	324
731	883	323
732	884	322
733	884	320
734	885	319
735	885	317
736	886	316
737	887	314
738	887	313
739	888	312
740	889	310
741	889	309
742	890	307
743	894	307
744	895	306
745	895	304
746	896	303
747	896	302
748	897	300
749	898	299
750	898	298
751	899	296
752	900	295
753	900	293
754	901	292
755	901	291
756	902	289
757	903	288
758	903	286
759	904	285
760	904	284
761	907	283
762	910	282
763	911	281
764	912	280
765	912	278
766	913	277
767	913	276
768	914	274
769	915	273
770	915	272
771	916	270
772	917	269
773	917	267
774	918	266
775	918	265
776	919	263
777	920	262
778	920	261
779	922	260
780	923	258
781	924	257
782	924	256
783	925	254
784	926	253
785	927	252
786	928	251
787	928	249
788	929	248
789	929	247
790	930	245
791	931	244
792	931	243
793	932	241
794	933	240
795	936	240
796	938	238
797	939	237
798	940	236
799	940	235
800	941	233
801	941	232
802	942	231
803	943	229
804	943	228
805	944	227
806	944	226
807	945	224
808	946	223
809	946	222
810	947	220
811	947	219
812	952	218
813	952	217
814	953	216
815	953	215
816	954	213
817	955	212
818	955	211
819	956	209
820	957	208
821	957	207
822	958	206
823	959	204
824	959	203
825	960	202
826	960	201
827	961	199
828	962	198
829	962	197
830	963	195
831	966	195
832	967	193
833	967	192
834	968	191
835	969	190
836	970	188
837	970	187
838	971	186
839	972	185
840	972	183
841	973	182
842	973	181
843	974	180
844	974	178
845	975	177
846	976	176
847	977	175
848	977	173
849	980	173
850	981	171
851	982	170
852	983	169
853	983	168
854	984	166
855	985	165
856	985	164
857	986	163
858	986	162
859	987	160
860	988	159
861	988	158
862	989	157
863	989	155
864	990	154
865	991	153
866	991	152
867	992	150
868	992	149
869	996	148
870	997	147
871	999	146
872	999	145
873	1000	144
874	1001	143
875	1002	141
876	1003	140
877	1004	139
878	1004	138
879	1005	137
880	1005	135
881	1006	134
882	1007	133
883	1010	132
884	1011	131
885	1012	130
886	1012	129
887	1013	127
888	1014	126
889	1014	125
890	1015	124
891	1015	123
892	1016	121
893	1017	120
894	1017	119
895	1018	118
896	1018	116
897	1019	115
898	1020	114
899	1020	113
900	1021	112
901	1022	111
902	1022	109
903	1024	108
904	1025	107
905	1026	106
906	1027	105
907	1028	104
908	1028	102
909	1029	101
910	1030	100
911	1030	99
912	1031	98
913	1031	97
914	1032	95
915	1033	94
916	1033	93
917	1034	92
918	1034	91
919	1035	90
920	1035	88
921	1036	87
922	1037	86
923	1040	85
924	1041	84
925	1042	83
926	1042	82
927	1043	80
928	1044	79
929	1044	78
930	1045	77
931	1045	76
932	1046	75
933	1047	73
934	1047	72
935	1048	71
936	1049	70
937	1049	69
938	1050	68
939	1050	67
940	1051	65
941	1052	64
942	1053	63
943	1055	62
944	1056	61
945	1057	60
946	1058	59
947	1058	58
948	1059	56
949	1059	55
950	1060	54
951	1061	53
952	1061	52
953	1062	51
954	1062	50
955	1063	48
956	1064	47
957	1064	46
958	1065	45
959	1066	44
960	1066	43
961	1067	42
962	1070	41
963	1071	40
964	1072	38
965	1072	37
966	1073	36
967	1073	35
968	1074	34
969	1075	33
970	1075	32
971	1076	31
972	1076	29
973	1077	28
974	1078	27
975	1079	26
976	1080	25
977	1080	24
978	1081	23
979	1081	22
980	1082	20
981	1086	19
982	1087	18
983	1088	17
984	1089	16
985	1090	15
986	1091	14
987	1092	13
988	1093	12
989	1094	11
990	1094	9
991	1095	8
992	1096	7
993	1096	6
994	1102	5
995	1102	4
996	1103	3
997	1104	2
998	1105	1
999	1105	0
